age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
0,1,1300,0.2939350719481758,0,3,0.3177038540233048,6500000,0.2829481959379343,0.31645652525904294,0.2785449977625244,2
0,0,1500,0.2523898736021136,1,3,0.24554359079892435,3950000,0.2863051246376919,0.26069813673734177,0.2204652346147583,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,3485,0,0,0,0.23090695732409355,3600000,0,0.22250995520622055,0,1
4,0,1800,0.32440910242086285,0,3,0.3709501088808366,6500000,0.2921944738718761,0.3432669067470756,0.3524962667613627,3
0,0,1500,0,1,3,0,3800000,0,0,0,2
0,0,5650,0.8662200294626536,0,0,0.7845677634255952,18000000,0.8062137832609898,0.9328635088769894,0.8285016696645346,1
2,9,2188,0.567902050768213,2,3,0.5155946660863472,18900000,0.5697832369761399,0.56211976543416,0.5013355893905681,3
0,0,3100,0,2,4,0,8000000,0,0,0,2
0,0,1500,0,1,3,0,3130000,0,0,0,2
0,5,425,0.28367289614381175,0,1,0.27663700025164945,1799000,0.2678347695543496,0.2740949530462701,0.26183961510802367,3
0,0,1501,0.3516310002541745,1,3,0.36116265792785635,6500000,0.37638564181158796,0.38255001355665175,0.4335716966279716,3
0,0,1500,0,0,3,0,3800000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,3900000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4250000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,5,1614,0.6137641779088492,2,3,0.6456298691406334,7400000,0.6242365922516401,0.6483687216857055,0.6504553768207366,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1250,0,1,3,0,4050000,0,0,0,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0.289074006704174,1,3,0.2527858244836698,3950000,0.2822711481826336,0.2803155746092486,0.28318517936955817,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1300,0.2405756769765137,1,3,0.24005729097077363,5200000,0.24747825593810457,0.2518170592726574,0.22842069107434307,2
0,0,1650,0,1,3,0,6100000,0,0,0,2
0,0,2100,1.8220819003874686,1,3,0.3879359226606149,8000009,3.017106942980788,0.3004394788983867,0.5858793598292535,2
0,0,2100,0.7554768965247998,1,3,0.7389065741321617,7600000,0.8456254279905554,0.839630604542258,0.8109244314496682,2
0,0,1500,0.22977026750185284,1,3,0.26886218976580123,3950000,0.22935830866565682,0.24169111406968125,0.31824646735509526,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,1250,0,1,3,0,4000000,0,0,0,2
2,0,1742,0.4483776946447381,0,0,0.38611518187027444,600000,0.4731983262458232,0.40973328445060053,0.5835631259353234,3
0,0,1500,1.8220819003874686,1,3,0.3879359226606149,3950000,3.017106942980788,0.3004394788983867,0.5858793598292535,2
0,2,2100,0.4491289681023204,1,3,0.5453023645582562,8000000,0.478737545632169,0.5291908206556696,0.5777455632804486,2
11,5,1825,0.5944894656286942,2,3,0.6264547981462547,9900000,0.5968368261690662,0.6697501131438767,0.599767641122383,3
0,0,3049,0.5734644492423758,0,0,0.5233562178656748,1400000,0.5131803487309903,0.5619689810151637,0.45248189613564793,1
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,2178,0.3291357476121161,0,0,0.3149336223141182,2750000,0.31064014218029645,0.3432167149020803,0.31970937038318803,1
0,10,3120,0.5314448786294355,0,4,0.47312981336705223,21528000,0.5373916817988197,0.5038037268745261,0.48169042099256454,2
0,0,1500,0.4286405440269366,1,3,0.4696421095957676,4500000,0.4062072059961728,0.4336752627840845,0.48531380792228007,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4250000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,3920,0,0,0,0,3800000,0,0.20041620858747491,0,1
0,0,1200,0,1,2,0,6500000,0,0,0,3
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4500000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
2,8,2794,0.567902050768213,2,4,0.5155946660863472,32000000,0.5697832369761399,0.56211976543416,0.5013355893905681,3
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1550,0,1,3,0,5269000,0,0,0,2
0,0,1586,0.38518262644978307,0,3,0.423955223448372,4800000,0.39634565933231386,0.42384728818712336,0.4103993370344061,3
0,0,2500,0.19898695478117073,1,3,0.23405354504745532,8500000,0.17363896212328583,0,0.22379959322863316,2
0,0,2100,0.33422882457732356,0,3,0.36468604109422487,7600000,0.3131970877850164,0.362592057557795,0.37252065939491136,2
0,0,2100,0.33149071073570724,1,3,0.31896957631795936,7600000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1500,1.8220819003874686,1,3,0.3879359226606149,3950000,3.017106942980788,0.3004394788983867,0.5858793598292535,2
0,0,1300,0.2939350719481758,0,3,0.3177038540233048,6500000,0.2829481959379343,0.31645652525904294,0.2785449977625244,2
0,0,1250,0.30392291554714623,1,3,0.3195185093725223,4000000,0.3118178413001956,0.27968833138591914,0.28513073239615905,2
0,0,2100,0.2918940032856747,0,3,0.2675551764452874,7600000,0.2647136424100681,0.2906279936359043,0.23399839544534712,2
